cdmall-app  |
cdmall-app  |   at org.springframework.data.repository.core.support.RepositoryFactorySupport.getRepository(RepositoryFactorySupport.java:357)
cdmall-app  |   at org.springframework.data.repository.core.support.RepositoryFactoryBeanSupport.lambda$afterPropertiesSet$5(RepositoryFactoryBeanSupport.java:290)
cdmall-app  |   at org.springframework.data.util.Lazy.getNullable(Lazy.java:135)
cdmall-app  |   at org.springframework.data.util.Lazy.get(Lazy.java:113)
cdmall-app  |   at org.springframework.data.repository.core.support.RepositoryFactoryBeanSupport.afterPropertiesSet(RepositoryFactoryBeanSupport.java:296)
cdmall-app  |   at org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean.afterPropertiesSet(JpaRepositoryFactoryBean.java:132)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1853)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1802)
cdmall-app  |   ... 35 common frames omitted
cdmall-app  | Caused by: java.lang.IllegalArgumentException: Validation failed for query for method public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc()
cdmall-app  |   at org.springframework.data.jpa.repository.query.SimpleJpaQuery.validateQuery(SimpleJpaQuery.java:100)
cdmall-app  |   at org.springframework.data.jpa.repository.query.SimpleJpaQuery.<init>(SimpleJpaQuery.java:70)
cdmall-app  |   at org.springframework.data.jpa.repository.query.JpaQueryFactory.fromMethodWithQueryString(JpaQueryFactory.java:60)
cdmall-app  |   at org.springframework.data.jpa.repository.query.JpaQueryLookupStrategy$DeclaredQueryLookupStrategy.resolveQuery(JpaQueryLookupStrategy.java:170)
cdmall-app  |   at org.springframework.data.jpa.repository.query.JpaQueryLookupStrategy$CreateIfNotFoundQueryLookupStrategy.resolveQuery(JpaQueryLookupStrategy.java:252)
cdmall-app  |   at org.springframework.data.jpa.repository.query.JpaQueryLookupStrategy$AbstractQueryLookupStrategy.resolveQuery(JpaQueryLookupStrategy.java:95)
cdmall-app  |   at org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor.lookupQuery(QueryExecutorMethodInterceptor.java:115)
cdmall-app  |   ... 47 common frames omitted
cdmall-app  | Caused by: java.lang.IllegalArgumentException: org.hibernate.query.SemanticException: Could not interpret path expression 'count_of_star'
cdmall-app  |   at org.hibernate.internal.ExceptionConverterImpl.convert(ExceptionConverterImpl.java:143)
cdmall-app  |   at org.hibernate.internal.ExceptionConverterImpl.convert(ExceptionConverterImpl.java:167)
cdmall-app  |   at org.hibernate.internal.ExceptionConverterImpl.convert(ExceptionConverterImpl.java:173)
cdmall-app  |   at org.hibernate.internal.AbstractSharedSessionContract.createQuery(AbstractSharedSessionContract.java:860)
cdmall-app  |   at org.hibernate.internal.AbstractSharedSessionContract.createQuery(AbstractSharedSessionContract.java:765)
cdmall-app  |   at org.hibernate.internal.AbstractSharedSessionContract.createQuery(AbstractSharedSessionContract.java:140)
cdmall-app  |   at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source)
cdmall-app  |   at java.base/java.lang.reflect.Method.invoke(Unknown Source)
cdmall-app  |   at org.springframework.orm.jpa.ExtendedEntityManagerCreator$ExtendedEntityManagerInvocationHandler.invoke(ExtendedEntityManagerCreator.java:364)
cdmall-app  |   at jdk.proxy2/jdk.proxy2.$Proxy159.createQuery(Unknown Source)
cdmall-app  |   at org.springframework.data.jpa.repository.query.SimpleJpaQuery.validateQuery(SimpleJpaQuery.java:94)
cdmall-app  |   ... 53 common frames omitted
cdmall-app  | Caused by: org.hibernate.query.SemanticException: Could not interpret path expression 'count_of_star'
cdmall-app  |   at org.hibernate.query.hql.internal.BasicDotIdentifierConsumer$BaseLocalSequencePart.resolvePathPart(BasicDotIdentifierConsumer.java:241)
cdmall-app  |   at org.hibernate.query.hql.internal.BasicDotIdentifierConsumer.consumeIdentifier(BasicDotIdentifierConsumer.java:92)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.resolveOrderByOrGroupByExpression(SemanticQueryBuilder.java:1702)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitSortExpression(SemanticQueryBuilder.java:1791)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitSortSpecification(SemanticQueryBuilder.java:1750)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitOrderByClause(SemanticQueryBuilder.java:1733)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitOrderByClause(SemanticQueryBuilder.java:1722)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitQueryOrder(SemanticQueryBuilder.java:1189)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitQuerySpecExpression(SemanticQueryBuilder.java:1038)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitQuerySpecExpression(SemanticQueryBuilder.java:275)
cdmall-app  |   at org.hibernate.grammars.hql.HqlParser$QuerySpecExpressionContext.accept(HqlParser.java:2132)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitSimpleQueryGroup(SemanticQueryBuilder.java:1020)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitSimpleQueryGroup(SemanticQueryBuilder.java:275)
cdmall-app  |   at org.hibernate.grammars.hql.HqlParser$SimpleQueryGroupContext.accept(HqlParser.java:2003)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitSelectStatement(SemanticQueryBuilder.java:490)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.visitStatement(SemanticQueryBuilder.java:449)
cdmall-app  |   at org.hibernate.query.hql.internal.SemanticQueryBuilder.buildSemanticModel(SemanticQueryBuilder.java:322)
cdmall-app  |   at org.hibernate.query.hql.internal.StandardHqlTranslator.translate(StandardHqlTranslator.java:71)
cdmall-app  |   at org.hibernate.query.internal.QueryInterpretationCacheStandardImpl.createHqlInterpretation(QueryInterpretationCacheStandardImpl.java:145)
cdmall-app  |   at org.hibernate.query.internal.QueryInterpretationCacheStandardImpl.resolveHqlInterpretation(QueryInterpretationCacheStandardImpl.java:132)
cdmall-app  |   at org.hibernate.internal.AbstractSharedSessionContract.interpretHql(AbstractSharedSessionContract.java:802)
cdmall-app  |   at org.hibernate.internal.AbstractSharedSessionContract.createQuery(AbstractSharedSessionContract.java:852)
cdmall-app  |   ... 60 common frames omitted
cdmall-app exited with code 0
cdmall-app  |
cdmall-app  |   .   ____          _            __ _ _
cdmall-app  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
cdmall-app  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
cdmall-app  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
cdmall-app  |   '  |____| .__|_| |_|_| |_\__, | / / / /
cdmall-app  |  =========|_|==============|___/=/_/_/_/
cdmall-app  |
cdmall-app  |  :: Spring Boot ::                (v3.3.5)
cdmall-app  |
cdmall-app  | 04:02:10.086 INFO  2165 --- [ background-preinit ] o.h.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
cdmall-app  | 04:02:10.279 INFO  2358 --- [ main ] com.demo.cdmall1.CdmallApplication : Starting CdmallApplication v0.0.1-SNAPSHOT using Java 21.0.10 with PID 1 (/app/app.jar started by root in /app)
cdmall-app  | 04:02:10.287 INFO  2366 --- [ main ] com.demo.cdmall1.CdmallApplication : No active profile set, falling back to 1 default profile: "default"
